MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/18/2021 5:34:35,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,213,0,Timed_out,nan
3/18/2021 5:34:52,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,214,0,10.21,nan
3/18/2021 5:35:08,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,215,0,9.88,nan
3/18/2021 5:35:24,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,216,0,8.50,nan
3/18/2021 5:35:42,1.4.2,FreeFeed,10,4.13,2,1,Pellet,Left,0,0,217,0,8.37,nan
3/18/2021 6:29:01,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,218,0,Timed_out,nan
3/18/2021 6:29:09,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,219,0,1.57,nan
3/18/2021 6:29:21,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,220,0,5.92,nan
3/18/2021 6:29:29,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,221,0,1.57,nan
3/18/2021 6:29:43,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,222,0,6.65,nan
3/18/2021 6:30:19,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,223,0,28.55,nan
3/18/2021 6:30:30,1.4.2,FreeFeed,10,4.12,1,1,Pellet,Left,0,0,224,0,3.62,nan
3/18/2021 6:30:41,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,225,0,3.81,nan
3/18/2021 6:30:55,1.4.2,FreeFeed,10,4.12,2,1,Pellet,Left,0,0,226,0,6.39,nan
3/18/2021 6:31:10,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,227,0,7.25,nan
